in init
3
 &FCI NORB= 72,NELEC=14,MS2= 0,

4
  ORBSYM=1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,

5
  ISYM=0

6
 &END

found the Namelist
NORB= 72
read the namelist
found E_nucc
finished init
NELECd= 15 NELECs= 1 NELECe= 56 NORB= 72
ENERGY: -294.022001909 ITERATION: 1
ENERGY: -276.77109149 ITERATION: 1
ENERGY: -292.512423879 ITERATION: 2
ENERGY: -310.98852152 ITERATION: 2
ENERGY: -292.699503233 ITERATION: 3
ENERGY: -283.69625358 ITERATION: 3
ENERGY: -293.406505261 ITERATION: 4
ENERGY: -302.714646358 ITERATION: 4
ENERGY: -294.869697634 ITERATION: 5
ENERGY: -292.127994405 ITERATION: 5
ENERGY: -295.54694375 ITERATION: 6
ENERGY: -297.107916324 ITERATION: 6
ENERGY: -295.894364741 ITERATION: 7
ENERGY: -295.354380022 ITERATION: 7
ENERGY: -295.97251844 ITERATION: 8
ENERGY: -296.276414 ITERATION: 8
ENERGY: -295.993107074 ITERATION: 9
ENERGY: -295.859691095 ITERATION: 9
ENERGY: -296.00059532 ITERATION: 10
ENERGY: -296.065527257 ITERATION: 10
ENERGY: -296.003072857 ITERATION: 11
ENERGY: -295.970525183 ITERATION: 11
ENERGY: -296.004295262 ITERATION: 12
ENERGY: -296.017139018 ITERATION: 12
ENERGY: -296.004792032 ITERATION: 13
ENERGY: -295.995980667 ITERATION: 13
ENERGY: -296.005100299 ITERATION: 14
ENERGY: -296.006774785 ITERATION: 14
ENERGY: -296.005275197 ITERATION: 15
ENERGY: -296.002188161 ITERATION: 15
ENERGY: -296.005407865 ITERATION: 16
ENERGY: -296.004820643 ITERATION: 16
ENERGY: -296.005506106 ITERATION: 17
ENERGY: -296.003915828 ITERATION: 17
ENERGY: -296.005587377 ITERATION: 18
ENERGY: -296.004641565 ITERATION: 18
ENERGY: -296.005653937 ITERATION: 19
ENERGY: -296.004537396 ITERATION: 19
ENERGY: -296.005710181 ITERATION: 20
ENERGY: -296.004796362 ITERATION: 20
ENERGY: -296.005757546 ITERATION: 21
ENERGY: -296.004853136 ITERATION: 21
ENERGY: -296.00579784 ITERATION: 22
ENERGY: -296.004986001 ITERATION: 22
ENERGY: -296.005832207 ITERATION: 23
ENERGY: -296.005065188 ITERATION: 23
ENERGY: -296.005861808 ITERATION: 24
ENERGY: -296.005156667 ITERATION: 24
ENERGY: -296.005887623 ITERATION: 25
ENERGY: -296.005231214 ITERATION: 25
ENERGY: -296.005910632 ITERATION: 26
ENERGY: -296.005305231 ITERATION: 26
ENERGY: -296.005931806 ITERATION: 27
ENERGY: -296.005372918 ITERATION: 27
ENERGY: -296.005952195 ITERATION: 28
ENERGY: -296.005439295 ITERATION: 28
ENERGY: -296.005972995 ITERATION: 29
ENERGY: -296.00550443 ITERATION: 29
ENERGY: -296.005995646 ITERATION: 30
ENERGY: -296.005571318 ITERATION: 30
ENERGY: -296.006021969 ITERATION: 31
ENERGY: -296.005642353 ITERATION: 31
ENERGY: -296.006054346 ITERATION: 32
ENERGY: -296.00572142 ITERATION: 32
ENERGY: -296.006095977 ITERATION: 33
ENERGY: -296.005813391 ITERATION: 33
ENERGY: -296.00615126 ITERATION: 34
ENERGY: -296.005925069 ITERATION: 34
ENERGY: -296.006226332 ITERATION: 35
ENERGY: -296.006065713 ITERATION: 35
ENERGY: -296.006329908 ITERATION: 36
ENERGY: -296.006248145 ITERATION: 36
ENERGY: -296.006474585 ITERATION: 37
ENERGY: -296.00649014 ITERATION: 37
ENERGY: -296.006678933 ITERATION: 38
ENERGY: -296.006816459 ITERATION: 38
ENERGY: -296.006970988 ITERATION: 39
ENERGY: -296.007261584 ITERATION: 39
ENERGY: -296.007394244 ITERATION: 40
ENERGY: -296.007873244 ITERATION: 40
ENERGY: -296.008018208 ITERATION: 41
ENERGY: -296.008715994 ITERATION: 41
ENERGY: -296.008957268 ITERATION: 42
ENERGY: -296.009871847 ITERATION: 42
ENERGY: -296.010403923 ITERATION: 43
ENERGY: -296.011428489 ITERATION: 43
ENERGY: -296.012682674 ITERATION: 44
ENERGY: -296.013434107 ITERATION: 44
ENERGY: -296.016313956 ITERATION: 45
ENERGY: -296.015809249 ITERATION: 45
ENERGY: -296.021993606 ITERATION: 46
ENERGY: -296.018394778 ITERATION: 46
ENERGY: -296.030193815 ITERATION: 47
ENERGY: -296.02174914 ITERATION: 47
ENERGY: -296.040199113 ITERATION: 48
ENERGY: -296.028033752 ITERATION: 48
ENERGY: -296.049815364 ITERATION: 49
ENERGY: -296.037984607 ITERATION: 49
ENERGY: -296.057097713 ITERATION: 50
ENERGY: -296.048033026 ITERATION: 50
ENERGY: -296.06172627 ITERATION: 51
ENERGY: -296.055349693 ITERATION: 51
ENERGY: -296.06439646 ITERATION: 52
ENERGY: -296.060006867 ITERATION: 52
ENERGY: -296.065882538 ITERATION: 53
ENERGY: -296.062826211 ITERATION: 53
ENERGY: -296.06671076 ITERATION: 54
ENERGY: -296.064550334 ITERATION: 54
ENERGY: -296.067182181 ITERATION: 55
ENERGY: -296.065630308 ITERATION: 55
ENERGY: -296.067458654 ITERATION: 56
ENERGY: -296.066332013 ITERATION: 56
ENERGY: -296.067626116 ITERATION: 57
ENERGY: -296.066801498 ITERATION: 57
ENERGY: -296.067730729 ITERATION: 58
ENERGY: -296.067124281 ITERATION: 58
ENERGY: -296.067797891 ITERATION: 59
ENERGY: -296.06735027 ITERATION: 59
ENERGY: -296.067842008 ITERATION: 60
ENERGY: -296.067510822 ITERATION: 60
ENERGY: -296.067871522 ITERATION: 61
ENERGY: -296.067625939 ITERATION: 61
ENERGY: -296.067891546 ITERATION: 62
ENERGY: -296.067709079 ITERATION: 62
ENERGY: -296.067905273 ITERATION: 63
ENERGY: -296.067769411 ITERATION: 63
ENERGY: -296.067914751 ITERATION: 64
ENERGY: -296.067813368 ITERATION: 64
ENERGY: -296.067921329 ITERATION: 65
ENERGY: -296.067845492 ITERATION: 65
ENERGY: -296.067925905 ITERATION: 66
ENERGY: -296.067869036 ITERATION: 66
ENERGY: -296.067929093 ITERATION: 67
ENERGY: -296.067886335 ITERATION: 67
ENERGY: -296.067931313 ITERATION: 68
ENERGY: -296.067899078 ITERATION: 68
ENERGY: -296.067932856 ITERATION: 69
ENERGY: -296.067908489 ITERATION: 69
ENERGY: -296.067933925 ITERATION: 70
ENERGY: -296.067915456 ITERATION: 70
ENERGY: -296.067934664 ITERATION: 71
ENERGY: -296.067920627 ITERATION: 71
ENERGY: -296.067935171 ITERATION: 72
ENERGY: -296.067924475 ITERATION: 72
ENERGY: -296.067935517 ITERATION: 73
ENERGY: -296.067927346 ITERATION: 73
ENERGY: -296.06793575 ITERATION: 74
ENERGY: -296.067929494 ITERATION: 74
ENERGY: -296.067935906 ITERATION: 75
ENERGY: -296.067931104 ITERATION: 75
ENERGY: -296.067936009 ITERATION: 76
ENERGY: -296.067932315 ITERATION: 76
ENERGY: -296.067936075 ITERATION: 77
ENERGY: -296.067933227 ITERATION: 77
ENERGY: -296.067936116 ITERATION: 78
ENERGY: -296.067933916 ITERATION: 78
ENERGY: -296.067936141 ITERATION: 79
ENERGY: -296.067934439 ITERATION: 79
ENERGY: -296.067936155 ITERATION: 80
ENERGY: -296.067934835 ITERATION: 80
ENERGY: -296.067936162 ITERATION: 81
ENERGY: -296.067935137 ITERATION: 81
ENERGY: -296.067936165 ITERATION: 82
ENERGY: -296.067935367 ITERATION: 82
ENERGY: -296.067936165 ITERATION: 83
ENERGY: -296.067935543 ITERATION: 83
ENERGY: -296.067936163 ITERATION: 84
ENERGY: -296.067935677 ITERATION: 84
ENERGY: -296.067936161 ITERATION: 85
ENERGY: -296.067935781 ITERATION: 85
ENERGY: -296.067936158 ITERATION: 86
ENERGY: -296.067935861 ITERATION: 86
finished calculating
skipped newFCIDUMP
