started program
in init
3
 &FCI NORB= 71,NELEC=14,MS2= 0,

4
  ORBSYM=1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,

5
  ISYM=0

6
 &END

found the Namelist
NORB= 71
read the namelist
found E_nucc
finished init
finished init
NORB= 71 NELECa= 7 NELECb= 6 E_nucc= -283.379870201
iters 1 Energy -328.697452592
iters 2 Energy -328.800203767
iters 3 Energy -328.823814396
iters 4 Energy -328.827336369
iters 5 Energy -328.827886669
iters 6 Energy -328.827969799
iters 7 Energy -328.827983666
iters 8 Energy -328.8279865
iters 9 Energy -328.827987405
iters 10 Energy -328.827987918
iters 11 Energy -328.827988341
iters 12 Energy -328.827988747
iters 13 Energy -328.827989158
iters 14 Energy -328.827989585
iters 15 Energy -328.827990031
iters 16 Energy -328.827990498
iters 17 Energy -328.827990989
iters 18 Energy -328.827991506
iters 19 Energy -328.827992049
iters 20 Energy -328.82799262
iters 21 Energy -328.82799322
iters 22 Energy -328.827993852
iters 23 Energy -328.827994516
iters 24 Energy -328.827995214
iters 25 Energy -328.827995949
iters 26 Energy -328.827996721
iters 27 Energy -328.827997534
iters 28 Energy -328.827998388
iters 29 Energy -328.827999287
iters 30 Energy -328.828000232
iters 31 Energy -328.828001226
iters 32 Energy -328.828002272
iters 33 Energy -328.828003371
iters 34 Energy -328.828004527
iters 35 Energy -328.828005743
iters 36 Energy -328.828007021
iters 37 Energy -328.828008366
iters 38 Energy -328.82800978
iters 39 Energy -328.828011267
iters 40 Energy -328.828012831
iters 41 Energy -328.828014476
iters 42 Energy -328.828016205
iters 43 Energy -328.828018024
iters 44 Energy -328.828019936
iters 45 Energy -328.828021947
iters 46 Energy -328.828024062
iters 47 Energy -328.828026285
iters 48 Energy -328.828028624
iters 49 Energy -328.828031082
iters 50 Energy -328.828033668
iters 51 Energy -328.828036386
iters 52 Energy -328.828039244
iters 53 Energy -328.82804225
iters 54 Energy -328.82804541
iters 55 Energy -328.828048733
iters 56 Energy -328.828052226
iters 57 Energy -328.828055899
iters 58 Energy -328.82805976
iters 59 Energy -328.82806382
iters 60 Energy -328.828068088
iters 61 Energy -328.828072575
iters 62 Energy -328.828077292
iters 63 Energy -328.828082251
iters 64 Energy -328.828087464
iters 65 Energy -328.828092944
iters 66 Energy -328.828098704
iters 67 Energy -328.828104758
iters 68 Energy -328.828111122
iters 69 Energy -328.82811781
iters 70 Energy -328.82812484
iters 71 Energy -328.828132229
iters 72 Energy -328.828139993
iters 73 Energy -328.828148153
iters 74 Energy -328.828156727
iters 75 Energy -328.828165738
iters 76 Energy -328.828175205
iters 77 Energy -328.828185152
iters 78 Energy -328.828195603
iters 79 Energy -328.828206583
iters 80 Energy -328.828218118
iters 81 Energy -328.828230234
iters 82 Energy -328.828242961
iters 83 Energy -328.828256328
iters 84 Energy -328.828270367
iters 85 Energy -328.82828511
iters 86 Energy -328.828300591
iters 87 Energy -328.828316846
iters 88 Energy -328.828333913
iters 89 Energy -328.828351829
iters 90 Energy -328.828370636
iters 91 Energy -328.828390376
iters 92 Energy -328.828411093
iters 93 Energy -328.828432833
iters 94 Energy -328.828455643
iters 95 Energy -328.828479574
iters 96 Energy -328.828504677
iters 97 Energy -328.828531007
iters 98 Energy -328.828558619
iters 99 Energy -328.828587571
iters 100 Energy -328.828617925
iters 101 Energy -328.828649742
iters 102 Energy -328.828683088
iters 103 Energy -328.828718029
iters 104 Energy -328.828754636
iters 105 Energy -328.82879298
iters 106 Energy -328.828833135
iters 107 Energy -328.828875179
iters 108 Energy -328.82891919
iters 109 Energy -328.828965249
iters 110 Energy -328.829013439
iters 111 Energy -328.829063848
iters 112 Energy -328.829116561
iters 113 Energy -328.829171671
iters 114 Energy -328.829229268
iters 115 Energy -328.829289446
iters 116 Energy -328.829352301
iters 117 Energy -328.829417931
iters 118 Energy -328.829486433
iters 119 Energy -328.829557908
iters 120 Energy -328.829632457
iters 121 Energy -328.829710181
iters 122 Energy -328.829791181
iters 123 Energy -328.829875561
iters 124 Energy -328.829963421
iters 125 Energy -328.830054862
iters 126 Energy -328.830149986
iters 127 Energy -328.83024889
iters 128 Energy -328.83035167
iters 129 Energy -328.830458422
iters 130 Energy -328.830569236
iters 131 Energy -328.8306842
iters 132 Energy -328.830803396
iters 133 Energy -328.830926903
iters 134 Energy -328.831054795
iters 135 Energy -328.831187137
iters 136 Energy -328.83132399
iters 137 Energy -328.831465406
iters 138 Energy -328.831611429
iters 139 Energy -328.831762092
iters 140 Energy -328.831917423
iters 141 Energy -328.832077435
iters 142 Energy -328.832242131
iters 143 Energy -328.832411503
iters 144 Energy -328.83258553
iters 145 Energy -328.832764178
iters 146 Energy -328.8329474
iters 147 Energy -328.833135133
iters 148 Energy -328.833327301
iters 149 Energy -328.833523812
iters 150 Energy -328.833724562
iters 151 Energy -328.833929427
iters 152 Energy -328.834138271
iters 153 Energy -328.834350942
iters 154 Energy -328.834567272
iters 155 Energy -328.834787079
iters 156 Energy -328.835010166
iters 157 Energy -328.835236322
iters 158 Energy -328.835465324
iters 159 Energy -328.835696936
iters 160 Energy -328.835930908
iters 161 Energy -328.836166982
iters 162 Energy -328.836404891
iters 163 Energy -328.836644356
iters 164 Energy -328.836885093
iters 165 Energy -328.837126814
iters 166 Energy -328.837369224
iters 167 Energy -328.837612025
iters 168 Energy -328.837854918
iters 169 Energy -328.838097605
iters 170 Energy -328.838339787
iters 171 Energy -328.83858117
iters 172 Energy -328.838821464
iters 173 Energy -328.839060383
iters 174 Energy -328.839297649
iters 175 Energy -328.839532992
iters 176 Energy -328.839766152
iters 177 Energy -328.839996878
iters 178 Energy -328.840224932
iters 179 Energy -328.840450086
iters 180 Energy -328.840672128
iters 181 Energy -328.840890857
iters 182 Energy -328.841106088
iters 183 Energy -328.841317647
iters 184 Energy -328.841525379
iters 185 Energy -328.841729143
iters 186 Energy -328.84192881
iters 187 Energy -328.842124269
iters 188 Energy -328.842315423
iters 189 Energy -328.842502189
iters 190 Energy -328.842684499
iters 191 Energy -328.842862298
iters 192 Energy -328.843035545
iters 193 Energy -328.843204213
iters 194 Energy -328.843368285
iters 195 Energy -328.843527756
iters 196 Energy -328.843682634
iters 197 Energy -328.843832936
iters 198 Energy -328.84397869
iters 199 Energy -328.84411993
iters 200 Energy -328.844256702
iters 201 Energy -328.844389058
iters 202 Energy -328.844517057
iters 203 Energy -328.844640764
iters 204 Energy -328.844760251
iters 205 Energy -328.844875594
iters 206 Energy -328.844986873
iters 207 Energy -328.845094173
iters 208 Energy -328.845197581
iters 209 Energy -328.845297189
iters 210 Energy -328.84539309
iters 211 Energy -328.845485376
iters 212 Energy -328.845574146
iters 213 Energy -328.845659495
iters 214 Energy -328.845741521
iters 215 Energy -328.845820323
iters 216 Energy -328.845895996
iters 217 Energy -328.845968639
iters 218 Energy -328.846038349
iters 219 Energy -328.84610522
iters 220 Energy -328.846169348
iters 221 Energy -328.846230826
iters 222 Energy -328.846289745
iters 223 Energy -328.846346196
iters 224 Energy -328.846400268
iters 225 Energy -328.846452046
iters 226 Energy -328.846501616
iters 227 Energy -328.84654906
iters 228 Energy -328.846594459
iters 229 Energy -328.846637892
iters 230 Energy -328.846679435
iters 231 Energy -328.846719162
iters 232 Energy -328.846757145
iters 233 Energy -328.846793454
iters 234 Energy -328.846828156
iters 235 Energy -328.846861318
iters 236 Energy -328.846893001
iters 237 Energy -328.846923269
iters 238 Energy -328.846952179
iters 239 Energy -328.846979788
iters 240 Energy -328.847006152
iters 241 Energy -328.847031323
iters 242 Energy -328.847055353
iters 243 Energy -328.847078291
iters 244 Energy -328.847100183
iters 245 Energy -328.847121075
iters 246 Energy -328.847141012
iters 247 Energy -328.847160034
iters 248 Energy -328.847178181
iters 249 Energy -328.847195494
iters 250 Energy -328.847212008
iters 251 Energy -328.847227759
iters 252 Energy -328.847242782
iters 253 Energy -328.847257109
iters 254 Energy -328.847270771
iters 255 Energy -328.847283798
iters 256 Energy -328.847296219
iters 257 Energy -328.847308061
iters 258 Energy -328.847319351
iters 259 Energy -328.847330115
iters 260 Energy -328.847340375
iters 261 Energy -328.847350155
iters 262 Energy -328.847359477
iters 263 Energy -328.847368362
iters 264 Energy -328.84737683
iters 265 Energy -328.847384901
iters 266 Energy -328.847392592
iters 267 Energy -328.847399922
iters 268 Energy -328.847406906
iters 269 Energy -328.847413562
iters 270 Energy -328.847419904
iters 271 Energy -328.847425948
iters 272 Energy -328.847431706
iters 273 Energy -328.847437192
iters 274 Energy -328.847442419
iters 275 Energy -328.847447399
iters 276 Energy -328.847452143
iters 277 Energy -328.847456663
