in init
3
 &FCI NORB= 72,NELEC=14,MS2= 0,

4
  ORBSYM=1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,

5
  ISYM=0

6
 &END

found the Namelist
NORB= 72
read the namelist
found E_nucc
finished init
NELECd= 15 NELECs= 1 NELECe= 56 NORB= 72
ENERGY: -293.71017857 ITERATION: 1
ENERGY: -276.258034632 ITERATION: 1
ENERGY: -292.143139805 ITERATION: 2
ENERGY: -309.737335468 ITERATION: 2
ENERGY: -292.685896386 ITERATION: 3
ENERGY: -284.056462201 ITERATION: 3
ENERGY: -294.037953934 ITERATION: 4
ENERGY: -301.152641722 ITERATION: 4
ENERGY: -295.02172643 ITERATION: 5
ENERGY: -291.677956605 ITERATION: 5
ENERGY: -295.380585912 ITERATION: 6
ENERGY: -297.568494696 ITERATION: 6
ENERGY: -295.488168139 ITERATION: 7
ENERGY: -294.409964769 ITERATION: 7
ENERGY: -295.531263392 ITERATION: 8
ENERGY: -296.101717553 ITERATION: 8
ENERGY: -295.54446757 ITERATION: 9
ENERGY: -295.255443719 ITERATION: 9
ENERGY: -295.553500586 ITERATION: 10
ENERGY: -295.689950257 ITERATION: 10
ENERGY: -295.558911216 ITERATION: 11
ENERGY: -295.484553726 ITERATION: 11
ENERGY: -295.5641432 ITERATION: 12
ENERGY: -295.590950779 ITERATION: 12
ENERGY: -295.568346331 ITERATION: 13
ENERGY: -295.546429277 ITERATION: 13
ENERGY: -295.572017841 ITERATION: 14
ENERGY: -295.573417117 ITERATION: 14
ENERGY: -295.574917572 ITERATION: 15
ENERGY: -295.566081347 ITERATION: 15
ENERGY: -295.577195533 ITERATION: 16
ENERGY: -295.574236081 ITERATION: 16
ENERGY: -295.578900615 ITERATION: 17
ENERGY: -295.574364868 ITERATION: 17
ENERGY: -295.580160245 ITERATION: 18
ENERGY: -295.577519597 ITERATION: 18
ENERGY: -295.581070368 ITERATION: 19
ENERGY: -295.578565118 ITERATION: 19
ENERGY: -295.58172242 ITERATION: 20
ENERGY: -295.58002218 ITERATION: 20
ENERGY: -295.582184845 ITERATION: 21
ENERGY: -295.580805973 ITERATION: 21
ENERGY: -295.582511332 ITERATION: 22
ENERGY: -295.581532343 ITERATION: 22
ENERGY: -295.582740858 ITERATION: 23
ENERGY: -295.581995433 ITERATION: 23
ENERGY: -295.582902055 ITERATION: 24
ENERGY: -295.582364771 ITERATION: 24
ENERGY: -295.583015354 ITERATION: 25
ENERGY: -295.582615419 ITERATION: 25
ENERGY: -295.583095401 ITERATION: 26
ENERGY: -295.582802361 ITERATION: 26
ENERGY: -295.583152596 ITERATION: 27
ENERGY: -295.582931535 ITERATION: 27
ENERGY: -295.583194386 ITERATION: 28
ENERGY: -295.58302398 ITERATION: 28
ENERGY: -295.58322614 ITERATION: 29
ENERGY: -295.583086983 ITERATION: 29
ENERGY: -295.583251829 ITERATION: 30
ENERGY: -295.583129534 ITERATION: 30
ENERGY: -295.583274506 ITERATION: 31
ENERGY: -295.583156119 ITERATION: 31
ENERGY: -295.583296676 ITERATION: 32
ENERGY: -295.583170635 ITERATION: 32
ENERGY: -295.583320573 ITERATION: 33
ENERGY: -295.583175198 ITERATION: 33
ENERGY: -295.58334839 ITERATION: 34
ENERGY: -295.583171241 ITERATION: 34
ENERGY: -295.583382471 ITERATION: 35
ENERGY: -295.583159384 ITERATION: 35
ENERGY: -295.583425482 ITERATION: 36
ENERGY: -295.583139857 ITERATION: 36
ENERGY: -295.583480568 ITERATION: 37
ENERGY: -295.583112666 ITERATION: 37
ENERGY: -295.583551475 ITERATION: 38
ENERGY: -295.583077994 ITERATION: 38
ENERGY: -295.583642635 ITERATION: 39
ENERGY: -295.583036679 ITERATION: 39
ENERGY: -295.583759158 ITERATION: 40
ENERGY: -295.582990944 ITERATION: 40
ENERGY: -295.583906679 ITERATION: 41
ENERGY: -295.58294533 ITERATION: 41
ENERGY: -295.584090977 ITERATION: 42
ENERGY: -295.58290777 ITERATION: 42
ENERGY: -295.584317297 ITERATION: 43
ENERGY: -295.582890462 ITERATION: 43
ENERGY: -295.584589346 ITERATION: 44
ENERGY: -295.582910025 ITERATION: 44
ENERGY: -295.584908048 ITERATION: 45
ENERGY: -295.582986208 ITERATION: 45
ENERGY: -295.585270319 ITERATION: 46
ENERGY: -295.583138704 ITERATION: 46
ENERGY: -295.585668303 ITERATION: 47
ENERGY: -295.583382366 ITERATION: 47
ENERGY: -295.586089513 ITERATION: 48
ENERGY: -295.583722262 ITERATION: 48
ENERGY: -295.586518152 ITERATION: 49
ENERGY: -295.584150682 ITERATION: 49
ENERGY: -295.586937381 ITERATION: 50
ENERGY: -295.584647709 ITERATION: 50
ENERGY: -295.587331898 ITERATION: 51
ENERGY: -295.585185307 ITERATION: 51
ENERGY: -295.587690025 ITERATION: 52
ENERGY: -295.585733213 ITERATION: 52
ENERGY: -295.588004745 ITERATION: 53
ENERGY: -295.586264348 ITERATION: 53
ENERGY: -295.588273634 ITERATION: 54
ENERGY: -295.586758229 ITERATION: 54
ENERGY: -295.588497981 ITERATION: 55
ENERGY: -295.587202037 ITERATION: 55
ENERGY: -295.588681573 ITERATION: 56
ENERGY: -295.587589935 ITERATION: 56
ENERGY: -295.588829522 ITERATION: 57
ENERGY: -295.587921475 ITERATION: 57
ENERGY: -295.588947338 ITERATION: 58
ENERGY: -295.588199825 ITERATION: 58
ENERGY: -295.589040326 ITERATION: 59
ENERGY: -295.588430214 ITERATION: 59
ENERGY: -295.58911324 ITERATION: 60
ENERGY: -295.58861876 ITERATION: 60
ENERGY: -295.589170153 ITERATION: 61
ENERGY: -295.588771682 ITERATION: 61
ENERGY: -295.589214439 ITERATION: 62
ENERGY: -295.588894832 ITERATION: 62
ENERGY: -295.589248833 ITERATION: 63
ENERGY: -295.588993449 ITERATION: 63
ENERGY: -295.589275515 ITERATION: 64
ENERGY: -295.58907207 ITERATION: 64
ENERGY: -295.589296205 ITERATION: 65
ENERGY: -295.58913453 ITERATION: 65
ENERGY: -295.589312247 ITERATION: 66
ENERGY: -295.589184014 ITERATION: 66
ENERGY: -295.589324689 ITERATION: 67
ENERGY: -295.589223135 ITERATION: 67
ENERGY: -295.589334343 ITERATION: 68
ENERGY: -295.589254012 ITERATION: 68
ENERGY: -295.589341839 ITERATION: 69
ENERGY: -295.589278351 ITERATION: 69
ENERGY: -295.589347662 ITERATION: 70
ENERGY: -295.589297519 ITERATION: 70
ENERGY: -295.58935219 ITERATION: 71
ENERGY: -295.589312603 ITERATION: 71
ENERGY: -295.589355713 ITERATION: 72
ENERGY: -295.589324469 ITERATION: 72
ENERGY: -295.589358457 ITERATION: 73
ENERGY: -295.5893338 ITERATION: 73
ENERGY: -295.589360594 ITERATION: 74
ENERGY: -295.589341136 ITERATION: 74
ENERGY: -295.58936226 ITERATION: 75
ENERGY: -295.589346903 ITERATION: 75
ENERGY: -295.589363561 ITERATION: 76
ENERGY: -295.589351437 ITERATION: 76
ENERGY: -295.589364576 ITERATION: 77
ENERGY: -295.589355003 ITERATION: 77
ENERGY: -295.589365368 ITERATION: 78
ENERGY: -295.589357807 ITERATION: 78
ENERGY: -295.589365988 ITERATION: 79
ENERGY: -295.589360012 ITERATION: 79
ENERGY: -295.589366473 ITERATION: 80
ENERGY: -295.589361748 ITERATION: 80
ENERGY: -295.589366852 ITERATION: 81
ENERGY: -295.589363114 ITERATION: 81
ENERGY: -295.589367148 ITERATION: 82
ENERGY: -295.589364189 ITERATION: 82
ENERGY: -295.589367381 ITERATION: 83
ENERGY: -295.589365037 ITERATION: 83
ENERGY: -295.589367563 ITERATION: 84
ENERGY: -295.589365704 ITERATION: 84
ENERGY: -295.589367705 ITERATION: 85
ENERGY: -295.589366231 ITERATION: 85
ENERGY: -295.589367817 ITERATION: 86
ENERGY: -295.589366646 ITERATION: 86
ENERGY: -295.589367905 ITERATION: 87
ENERGY: -295.589366974 ITERATION: 87
ENERGY: -295.589367974 ITERATION: 88
ENERGY: -295.589367233 ITERATION: 88
ENERGY: -295.589368027 ITERATION: 89
ENERGY: -295.589367437 ITERATION: 89
ENERGY: -295.58936807 ITERATION: 90
ENERGY: -295.589367599 ITERATION: 90
ENERGY: -295.589368103 ITERATION: 91
ENERGY: -295.589367727 ITERATION: 91
ENERGY: -295.589368129 ITERATION: 92
ENERGY: -295.589367828 ITERATION: 92
ENERGY: -295.58936815 ITERATION: 93
ENERGY: -295.589367908 ITERATION: 93
finished calculating
skipped newFCIDUMP
