started program
in init
3
 &FCI NORB= 72,NELEC=14,MS2= 0,

4
  ORBSYM=1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,

5
  ISYM=0

6
 &END

found the Namelist
NORB= 72
read the namelist
found E_nucc
finished init
finished init
NORB= 72 NELECa= 7 NELECb= 6 E_nucc= -280.58919641
iters 1 Energy -328.742990027
iters 2 Energy -328.831893772
iters 3 Energy -328.846972018
iters 4 Energy -328.849707017
iters 5 Energy -328.850266439
iters 6 Energy -328.850383719
iters 7 Energy -328.850409722
iters 8 Energy -328.850415769
iters 9 Energy -328.850417353
iters 10 Energy -328.850417927
iters 11 Energy -328.850418283
iters 12 Energy -328.850418607
iters 13 Energy -328.850418947
iters 14 Energy -328.850419314
iters 15 Energy -328.850419715
iters 16 Energy -328.850420154
iters 17 Energy -328.850420634
iters 18 Energy -328.850421159
iters 19 Energy -328.850421734
iters 20 Energy -328.850422363
iters 21 Energy -328.850423051
iters 22 Energy -328.850423804
iters 23 Energy -328.850424628
iters 24 Energy -328.85042553
iters 25 Energy -328.850426517
iters 26 Energy -328.850427596
iters 27 Energy -328.850428778
iters 28 Energy -328.850430071
iters 29 Energy -328.850431486
iters 30 Energy -328.850433034
iters 31 Energy -328.850434729
iters 32 Energy -328.850436583
iters 33 Energy -328.850438611
iters 34 Energy -328.850440831
iters 35 Energy -328.85044326
iters 36 Energy -328.850445917
iters 37 Energy -328.850448825
iters 38 Energy -328.850452007
iters 39 Energy -328.850455488
iters 40 Energy -328.850459296
iters 41 Energy -328.850463463
iters 42 Energy -328.850468022
iters 43 Energy -328.85047301
iters 44 Energy -328.850478467
iters 45 Energy -328.850484436
iters 46 Energy -328.850490966
iters 47 Energy -328.850498109
iters 48 Energy -328.850505922
iters 49 Energy -328.850514469
iters 50 Energy -328.850523816
iters 51 Energy -328.85053404
iters 52 Energy -328.85054522
iters 53 Energy -328.850557447
iters 54 Energy -328.850570816
iters 55 Energy -328.850585435
iters 56 Energy -328.850601417
iters 57 Energy -328.850618889
iters 58 Energy -328.850637988
iters 59 Energy -328.850658863
iters 60 Energy -328.850681677
iters 61 Energy -328.850706605
iters 62 Energy -328.850733842
iters 63 Energy -328.850763595
iters 64 Energy -328.850796091
iters 65 Energy -328.850831578
iters 66 Energy -328.850870322
iters 67 Energy -328.850912614
iters 68 Energy -328.850958768
iters 69 Energy -328.851009121
iters 70 Energy -328.851064043
iters 71 Energy -328.851123928
iters 72 Energy -328.851189202
iters 73 Energy -328.851260326
iters 74 Energy -328.851337791
iters 75 Energy -328.851422127
iters 76 Energy -328.8515139
iters 77 Energy -328.851613713
iters 78 Energy -328.851722212
iters 79 Energy -328.851840078
iters 80 Energy -328.851968038
iters 81 Energy -328.852106855
iters 82 Energy -328.852257335
iters 83 Energy -328.852420319
iters 84 Energy -328.852596686
iters 85 Energy -328.852787346
iters 86 Energy -328.852993241
iters 87 Energy -328.853215332
iters 88 Energy -328.853454597
iters 89 Energy -328.853712022
iters 90 Energy -328.853988592
iters 91 Energy -328.854285274
iters 92 Energy -328.85460301
iters 93 Energy -328.8549427
iters 94 Energy -328.855305181
iters 95 Energy -328.855691213
iters 96 Energy -328.856101459
iters 97 Energy -328.856536459
iters 98 Energy -328.856996617
iters 99 Energy -328.857482169
iters 100 Energy -328.857993171
iters 101 Energy -328.858529472
iters 102 Energy -328.8590907
iters 103 Energy -328.859676245
iters 104 Energy -328.860285247
iters 105 Energy -328.86091659
iters 106 Energy -328.861568897
iters 107 Energy -328.862240536
iters 108 Energy -328.86292963
iters 109 Energy -328.863634069
iters 110 Energy -328.864351537
iters 111 Energy -328.865079535
iters 112 Energy -328.865815419
iters 113 Energy -328.866556434
iters 114 Energy -328.867299756
iters 115 Energy -328.868042533
iters 116 Energy -328.868781932
iters 117 Energy -328.869515179
iters 118 Energy -328.870239598
iters 119 Energy -328.870952654
iters 120 Energy -328.871651977
iters 121 Energy -328.872335401
iters 122 Energy -328.873000973
iters 123 Energy -328.873646982
iters 124 Energy -328.874271958
iters 125 Energy -328.874874685
iters 126 Energy -328.875454192
iters 127 Energy -328.876009753
iters 128 Energy -328.876540875
iters 129 Energy -328.877047281
iters 130 Energy -328.877528899
iters 131 Energy -328.87798584
iters 132 Energy -328.878418379
iters 133 Energy -328.878826935
iters 134 Energy -328.879212052
iters 135 Energy -328.879574377
iters 136 Energy -328.879914645
iters 137 Energy -328.880233657
iters 138 Energy -328.880532266
iters 139 Energy -328.880811361
iters 140 Energy -328.881071856
iters 141 Energy -328.881314675
iters 142 Energy -328.881540744
iters 143 Energy -328.881750983
iters 144 Energy -328.881946296
iters 145 Energy -328.882127565
iters 146 Energy -328.882295651
iters 147 Energy -328.88245138
iters 148 Energy -328.882595551
iters 149 Energy -328.882728925
iters 150 Energy -328.882852229
iters 151 Energy -328.882966154
iters 152 Energy -328.883071353
iters 153 Energy -328.883168445
iters 154 Energy -328.88325801
iters 155 Energy -328.883340597
iters 156 Energy -328.883416716
iters 157 Energy -328.883486848
iters 158 Energy -328.883551442
iters 159 Energy -328.883610916
iters 160 Energy -328.883665659
iters 161 Energy -328.883716034
iters 162 Energy -328.883762378
iters 163 Energy -328.883805004
iters 164 Energy -328.883844202
iters 165 Energy -328.883880241
iters 166 Energy -328.883913368
iters 167 Energy -328.883943815
iters 168 Energy -328.883971795
iters 169 Energy -328.883997502
iters 170 Energy -328.88402112
iters 171 Energy -328.884042815
iters 172 Energy -328.884062741
iters 173 Energy -328.884081042
iters 174 Energy -328.884097848
iters 175 Energy -328.884113279
iters 176 Energy -328.884127448
iters 177 Energy -328.884140457
iters 178 Energy -328.8841524
iters 179 Energy -328.884163363
iters 180 Energy -328.884173427
iters 181 Energy -328.884182664
iters 182 Energy -328.884191143
iters 183 Energy -328.884198925
iters 184 Energy -328.884206067
iters 185 Energy -328.884212621
iters 186 Energy -328.884218637
iters 187 Energy -328.884224157
iters 188 Energy -328.884229223
iters 189 Energy -328.884233871
iters 190 Energy -328.884238137
iters 191 Energy -328.884242051
iters 192 Energy -328.884245643
iters 193 Energy -328.884248938
iters 194 Energy -328.884251962
iters 195 Energy -328.884254737
iters 196 Energy -328.884257282
iters 197 Energy -328.884259618
iters 198 Energy -328.884261761
iters 199 Energy -328.884263727
iters 200 Energy -328.884265531
iters 201 Energy -328.884267187
iters 202 Energy -328.884268705
iters 203 Energy -328.884270098
iters 204 Energy -328.884271377
iters 205 Energy -328.884272549
iters 206 Energy -328.884273625
iters 207 Energy -328.884274612
iters 208 Energy -328.884275518
iters 209 Energy -328.884276349
iters 210 Energy -328.884277111
iters 211 Energy -328.88427781
iters 212 Energy -328.884278452
iters 213 Energy -328.884279041
iters 214 Energy -328.884279581
iters 215 Energy -328.884280076
iters 216 Energy -328.88428053
iters 217 Energy -328.884280947
iters 218 Energy -328.88428133
iters 219 Energy -328.884281681
iters 220 Energy -328.884282003
iters 221 Energy -328.884282298
iters 222 Energy -328.884282569
iters 223 Energy -328.884282818
iters 224 Energy -328.884283046
iters 225 Energy -328.884283255
iters 226 Energy -328.884283447
iters 227 Energy -328.884283623
iters 228 Energy -328.884283785
iters 229 Energy -328.884283933
iters 230 Energy -328.884284069
iters 231 Energy -328.884284193
iters 232 Energy -328.884284308
iters 233 Energy -328.884284413
iters 234 Energy -328.884284509
finished calculation
skipped newFCIDUMP
Done
